Date,Open,High,Low,Close,Volume,Adj Close
2005-07-13,2234.10,2244.23,2234.10,2239.01,312297800,2239.01
2005-07-12,2244.33,2246.83,2228.92,2235.59,156581600,2235.59
2005-07-11,2229.23,2241.19,2223.58,2241.19,167505200,2241.19
2005-07-08,2213.63,2224.19,2213.18,2215.99,157879200,2215.99
2005-07-07,2230.04,2233.74,2212.34,2212.34,196728600,2212.34
2005-07-06,2227.08,2235.19,2225.83,2234.13,197549600,2234.13
2005-07-05,2224.91,2230.40,2221.00,2222.61,136794200,2222.61
2005-07-04,2216.93,2225.80,2214.93,2221.16,92311200,2221.16
2005-07-01,2212.91,2216.07,2207.95,2209.95,81423400,2209.95
2005-06-30,2203.60,2212.66,2201.83,2212.66,161879200,2212.66
2005-06-29,2206.94,2210.96,2202.22,2202.27,134070400,2202.27
2005-06-28,2203.40,2207.77,2197.41,2197.61,142599000,2197.61
2005-06-27,2213.27,2217.82,2206.71,2206.71,126521800,2206.71
2005-06-24,2216.09,2225.39,2210.25,2223.72,163539200,2223.72
2005-06-23,2209.45,2227.07,2204.79,2223.45,207194800,2223.45
2005-06-22,2199.02,2206.99,2193.86,2206.34,178489000,2206.34
2005-06-21,2197.94,2206.48,2196.64,2196.64,125995000,2196.64
2005-06-20,2209.23,2209.98,2192.88,2197.38,122792800,2197.38
2005-06-17,2207.39,2215.18,2205.63,2209.15,135641200,2209.15
2005-06-16,2203.21,2206.04,2196.85,2202.74,137031800,2202.74
2005-06-15,2192.39,2206.51,2187.22,2201.91,163327200,2201.91
2005-06-14,2221.33,2222.38,2202.19,2202.19,145849400,2202.19
2005-06-13,2221.37,2230.56,2214.56,2218.86,172504000,2218.86
2005-06-10,2202.30,2223.67,2202.30,2220.43,178342400,2220.43
2005-06-09,2197.37,2208.18,2194.13,2198.56,133665200,2198.56
2005-06-08,2208.19,2210.12,2198.29,2198.29,169010000,2198.29
2005-06-07,2201.25,2210.68,2197.83,2206.84,176755200,2206.84
2005-06-06,2187.18,2201.38,2184.81,2201.38,209570400,2201.38
2005-06-03,2191.29,2197.40,2188.65,2192.67,180943400,2192.67
2005-06-02,2181.72,2192.67,2181.72,2191.55,186787400,2191.55
2005-06-01,2169.46,2180.74,2167.75,2176.93,141574000,2176.93
2005-05-31,2169.44,2182.12,2161.77,2161.77,243764000,2161.77
2005-05-30,2156.63,2174.61,2156.63,2171.92,125428400,2171.92
2005-05-27,2155.80,2166.37,2152.94,2154.70,114194000,2154.70
2005-05-26,2155.85,2158.78,2137.58,2152.56,142216600,2152.56
2005-05-25,2177.35,2178.20,2156.65,2160.47,154375200,2160.47
2005-05-24,2178.87,2187.78,2173.32,2175.20,219705600,2175.20
2005-05-20,2173.25,2179.01,2170.59,2173.77,141780000,2173.77
2005-05-19,2161.30,2175.66,2161.30,2167.27,206495200,2167.27
2005-05-18,2155.19,2161.92,2150.52,2153.65,140453200,2153.65
2005-05-17,2165.95,2169.90,2148.21,2154.37,142088400,2154.37
2005-05-16,2171.80,2173.38,2161.04,2165.48,86999200,2165.48
2005-05-13,2175.59,2175.66,2165.14,2171.67,179386400,2171.67
2005-05-12,2177.48,2186.13,2176.27,2181.19,148166200,2181.19
2005-05-11,2160.06,2173.14,2155.59,2173.14,121517200,2173.14
2005-05-10,2171.79,2173.57,2164.81,2165.85,160106000,2165.85
2005-05-09,2164.58,2170.53,2161.70,2166.29,178155400,2166.29
2005-05-06,2150.73,2166.86,2146.83,2161.22,200171000,2161.22
2005-05-05,2151.61,2154.57,2147.30,2148.10,195394000,2148.10
2005-05-04,2141.86,2156.69,2141.86,2149.38,136594000,2149.38
2005-05-03,2146.04,2148.25,2137.17,2137.17,92943600,2137.17
2005-04-29,2129.94,2139.67,2125.25,2125.25,133754400,2125.25
2005-04-28,2140.88,2149.12,2134.08,2140.24,98989200,2140.24
2005-04-27,2147.25,2154.43,2140.79,2145.34,104514400,2145.34
2005-04-26,2144.79,2155.84,2140.42,2149.64,140780200,2149.64
2005-04-25,2135.44,2143.84,2134.49,2137.39,115371800,2137.39
2005-04-22,2147.60,2150.49,2136.91,2136.91,132319600,2136.91
2005-04-21,2124.53,2140.28,2119.03,2137.73,132002400,2137.73
2005-04-20,2144.38,2144.38,2129.25,2129.25,126403200,2129.25
2005-04-19,2120.51,2130.92,2119.39,2128.71,131688200,2128.71
2005-04-18,2128.87,2135.08,2107.67,2107.67,214870200,2107.67
2005-04-15,2156.33,2159.90,2140.77,2150.23,167757200,2150.23
2005-04-14,2162.86,2172.01,2160.34,2168.59,153112600,2168.59
2005-04-13,2174.55,2178.97,2168.99,2174.09,120687400,2174.09
2005-04-12,2179.53,2179.63,2165.03,2173.56,121540400,2173.56
2005-04-11,2180.05,2183.96,2172.26,2181.58,96031200,2181.58
2005-04-08,2178.96,2186.26,2176.98,2181.94,149286000,2181.94
2005-04-07,2166.66,2176.39,2164.32,2176.39,145517200,2176.39
2005-04-06,2156.44,2165.78,2152.18,2165.78,127510600,2165.78
